Year,Region,gruppe.Anschlussgrad,Value
2007.0,Enzkreis,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.8
2010.0,Enzkreis,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.9
2013.0,Enzkreis,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.9
2014.0,Enzkreis,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.9
2015.0,Enzkreis,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.9
2016.0,Enzkreis,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.9
2017.0,Enzkreis,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.9
2018.0,Enzkreis,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.9
2019.0,Enzkreis,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.9
2020.0,Enzkreis,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.9
2007.0,Land BW,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.1
2010.0,Land BW,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.3
2013.0,Land BW,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.4
2014.0,Land BW,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.4
2015.0,Land BW,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.5
2016.0,Land BW,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.5
2017.0,Land BW,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.5
2018.0,Land BW,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.5
2019.0,Land BW,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.5
2020.0,Land BW,Anschlussgrad der Bevölkerung an kommunale Kläranlagen,99.5
,,,
